input,output
"('sangrado', 'Action', 'hombres', 'Concept')",subject
"('infecta', 'Action', 'dolor', 'Action')",causes
"('infecta', 'Action', 'secreción', 'Action')",causes
"('infecta', 'Action', 'sangrado', 'Action')",causes
"('moho', 'Concept', 'problemas', 'Action')",causes
"('afecta', 'Action', 'parálisis cerebral', 'Concept')",subject
"('afecta', 'Action', 'capacidad', 'Predicate')",target
"('capacidad', 'Predicate', 'moverse', 'Action')",arg
"('moverse', 'Action', 'persona', 'Concept')",target
"('mantener', 'Action', 'postura', 'Concept')",target
"('mantener', 'Action', 'persona', 'Concept')",subject
"('capacidad', 'Predicate', 'mantener', 'Action')",arg
"('parálisis cerebral', 'Concept', 'grupo', 'Predicate')",is-a
"('hacen', 'Action', 'médicos', 'Concept')",subject
"('hacen', 'Action', 'pruebas', 'Concept')",target
"('pruebas', 'Concept', 'genéticas', 'Concept')",in-context
"('motivos', 'Concept', 'varios', 'Concept')",in-context
"('motivos', 'Concept', 'hacen', 'Action')",causes
"('cándida', 'Concept', 'levadura', 'Concept')",is-a
"('combinación', 'Predicate', 'este', 'Reference')",arg
"('combinación', 'Predicate', 'varicela', 'Concept')",arg
"('este', 'Reference', 'medicamento', 'Concept')",is-a
"('combinación', 'Predicate', 'síndrome de reye', 'Concept')",causes
"('daño', 'Action', 'sistema nervioso', 'Concept')",target
"('daño', 'Action', 'shock neurogénico', 'Concept')",causes
"('existe', 'Action', 'diagnóstico', 'Action')",target
"('diagnóstico', 'Action', 'examen', 'Concept')",subject
"('diagnóstico', 'Action', 'esta', 'Reference')",target
"('necesita', 'Action', 'algo', 'Predicate')",target
"('algo', 'Predicate', 'colesterol', 'Concept')",domain
"('algunos', 'Predicate', 'hongos', 'Concept')",domain
"('reproducen', 'Action', 'algunos', 'Predicate')",subject
"('esporas', 'Concept', 'pequeñas', 'Concept')",in-context
"('esporas', 'Concept', 'aire', 'Concept')",in-place
"('reproducen', 'Action', 'esporas', 'Concept')",entails
"('trastornos', 'Action', 'conducta', 'Concept')",target
"('trastornos', 'Action', 'serios', 'Concept')",has-property
"('utiliza', 'Action', 'metabolismo', 'Concept')",target
"('utiliza', 'Action', 'producir', 'Action')",in-context
"('producir', 'Action', 'energía', 'Concept')",target
"('producir', 'Action', 'consume', 'Action')",subject
"('consume', 'Action', 'alimentos', 'Concept')",target
"('metabolismo', 'Concept', 'proceso', 'Concept')",is-a
"('paso', 'Action', 'desde', 'Predicate')",in-place
"('paso', 'Action', 'hacia', 'Predicate')",in-place
"('paso', 'Action', 'ácido', 'Concept')",subject
"('desde', 'Predicate', 'estómago', 'Concept')",arg
"('reflujo gastroesofágico', 'Concept', 'paso', 'Action')",same-as
"('adquirir', 'Action', 'se', 'Reference')",target
"('tocar', 'Action', 'persona', 'Concept')",target
"('tocar', 'Action', 'superficies', 'Concept')",target
"('tocar', 'Action', 'mascota', 'Concept')",target
"('persona', 'Concept', 'infectada', 'Concept')",in-context
"('superficies', 'Concept', 'húmedas', 'Concept')",in-context
"('pisos', 'Concept', 'duchas', 'Concept')",in-place
"('pisos', 'Concept', 'superficies', 'Concept')",is-a
"('tocar', 'Action', 'adquirir', 'Action')",causes
"('decoraciones', 'Concept', 'cuerpo', 'Concept')",in-place
"('remontan', 'Action', 'tiempos', 'Concept')",target
"('remontan', 'Action', 'perforaciones', 'Concept')",subject
"('tiempos', 'Concept', 'inmemoriales', 'Concept')",in-context
"('remontan', 'Action', 'tatuajes', 'Concept')",subject
"('perforaciones', 'Concept', 'decoraciones', 'Concept')",is-a
"('tatuajes', 'Concept', 'decoraciones', 'Concept')",is-a
"('niños', 'Concept', 'maltratados', 'Concept')",in-context
"('sufren', 'Action', 'más', 'Predicate')",target
"('sufren', 'Action', 'mayoría', 'Predicate')",subject
"('daños', 'Action', 'emocionales', 'Concept')",target
"('daños', 'Action', 'físicos', 'Concept')",target
"('más', 'Predicate', 'daños', 'Action')",arg
"('riesgo', 'Action', 'esto', 'Reference')",subject
"('riesgo', 'Action', 'vida', 'Concept')",target
"('vida', 'Concept', 'persona', 'Concept')",in-place
"('arterias', 'Concept', 'corazón', 'Concept')",in-place
"('estrechas', 'Action', 'arterias', 'Concept')",target
"('bloqueadas', 'Action', 'placa', 'Concept')",subject
"('material', 'Concept', 'pegajoso', 'Concept')",in-context
"('placa', 'Concept', 'material', 'Concept')",is-a
"('enfermedad de las arterias coronarias', 'Concept', 'estrechas', 'Action')",entails
"('enfermedad de las arterias coronarias', 'Concept', 'bloqueadas', 'Action')",entails
"('nivel', 'Predicate', 'colesterol', 'Concept')",arg
"('nivel', 'Predicate', 'alto', 'Concept')",in-context
"('antecedentes', 'Predicate', 'nivel', 'Predicate')",arg
"('antecedentes', 'Predicate', 'familiares', 'Concept')",in-context
"('consume', 'Action', 'comidas', 'Concept')",target
"('comidas', 'Concept', 'grasosas', 'Concept')",in-context
"('tener', 'Action', 'nivel', 'Predicate')",target
"('antecedentes', 'Predicate', 'tener', 'Action')",entails
"('sobrepeso', 'Concept', 'tener', 'Action')",entails
"('consume', 'Action', 'tener', 'Action')",entails
"('exhibir', 'Action', 'órganos genitales', 'Concept')",target
"('exhibir', 'Action', 'ante', 'Predicate')",in-place
"('presionar', 'Action', 'tener', 'Action')",target
"('tener', 'Action', 'niño', 'Concept')",subject
"('tener', 'Action', 'relaciones sexuales', 'Concept')",target
"('abuso sexual', 'Action', 'menor', 'Concept')",target
"('exhibir', 'Action', 'abuso sexual', 'Action')",is-a
"('presionar', 'Action', 'abuso sexual', 'Action')",is-a
"('ante', 'Predicate', 'niño', 'Concept')",arg
"('problemas', 'Concept', 'sistema nervioso', 'Concept')",in-place
"('problemas', 'Concept', 'circulatorios', 'Concept')",in-context
"('problemas', 'Concept', 'glándula tiroides', 'Concept')",in-place
"('afectan', 'Action', 'diabetes', 'Concept')",subject
"('afectan', 'Action', 'problemas', 'Concept')",subject
"('afectan', 'Action', 'insuficiencia cardíaca', 'Concept')",subject
"('afectan', 'Action', 'equilibrio', 'Concept')",target
"('tumor', 'Concept', 'benigno', 'Concept')",in-context
"('desarrolla', 'Action', 'neuroma acústico', 'Concept')",subject
"('desarrolla', 'Action', 'conecta', 'Action')",in-place
"('conecta', 'Action', 'nervio', 'Concept')",subject
"('conecta', 'Action', 'oído', 'Concept')",target
"('neuroma acústico', 'Concept', 'tumor', 'Concept')",is-a
"('chupar', 'Action', 'caramelo', 'Concept')",target
"('caramelo', 'Concept', 'azúcar', 'Concept')",in-context
"('tomar', 'Action', 'sorbos', 'Action')",target
"('sorbos', 'Action', 'día', 'Concept')",target
"('sorbos', 'Action', 'agua', 'Concept')",target
"('sorbos', 'Action', 'pequeños', 'Concept')",in-context
"('masticar', 'Action', 'goma de mascar', 'Concept')",target
"('goma de mascar', 'Concept', 'azúcar', 'Concept')",in-context
"('problema', 'Action', 'boca', 'Concept')",target
"('masticar', 'Action', 'problema', 'Action')",causes
"('chupar', 'Action', 'problema', 'Action')",causes
"('tomar', 'Action', 'problema', 'Action')",causes
"('herida', 'Concept', 'cuerpo', 'Concept')",in-place
"('frío', 'Concept', 'extremo', 'Concept')",in-context
"('congelación', 'Concept', 'herida', 'Concept')",is-a
"('frío', 'Concept', 'congelación', 'Concept')",causes
"('catorce', 'Predicate', '26 huesos', 'Concept')",domain
"('26 huesos', 'Concept', 'pies', 'Concept')",in-place
"('catorce', 'Predicate', 'dedos', 'Concept')",part-of
"('más', 'Predicate', 'los', 'Reference')",domain
"('suelo', 'Concept', 'más', 'Predicate')",is-a
"('nutrientes', 'Concept', 'más', 'Predicate')",is-a
"('bacterias', 'Concept', 'más', 'Predicate')",is-a
"('similares', 'Predicate', 'sustancias', 'Concept')",domain
"('similares', 'Predicate', 'grasa', 'Concept')",arg
"('lípidos', 'Concept', 'grasas', 'Concept')",is-a
"('lípidos', 'Concept', 'similares', 'Predicate')",is-a
"('enfermedad', 'Concept', 'corazón', 'Concept')",in-place
"('encontrarla', 'Action', 'enfermedad', 'Concept')",target
"('encontrarla', 'Action', 'temprano', 'Concept')",in-context
"('tratar', 'Action', 'enfermedad', 'Concept')",target
"('tratar', 'Action', 'temprano', 'Concept')",in-context
"('más', 'Predicate', 'fácil', 'Concept')",arg
"('encontrarla', 'Action', 'importante', 'Concept')",has-property
"('tratar', 'Action', 'más', 'Predicate')",has-property
"('usted', 'Reference', 'enfermedad', 'Concept')",in-context
"('riesgo', 'Action', 'conmociones cerebrales', 'Concept')",subject
"('conmociones cerebrales', 'Concept', 'serias', 'Concept')",has-property
"('debilidad', 'Action', 'músculos', 'Concept')",target
"('debilidad', 'Action', 'nueva', 'Concept')",in-context
"('cansancio', 'Concept', 'síntomas', 'Concept')",is-a
"('debilidad', 'Action', 'síntomas', 'Concept')",is-a
"('buscan', 'Action', 'partes', 'Predicate')",target
"('buscan', 'Action', 'exámenes de sangre', 'Concept')",subject
"('partes', 'Predicate', 'virus', 'Concept')",domain
"('proteínas', 'Concept', 'virus', 'Concept')",part-of
"('material genético', 'Concept', 'virus', 'Concept')",part-of
"('prevenir', 'Action', 'vacuna', 'Concept')",subject
"('infecciones', 'Concept', 'meningocócicas', 'Concept')",in-context
"('descubran', 'Action', 'tienen', 'Action')",target
"('descubran', 'Action', 'mujeres', 'Concept')",subject
"('tienen', 'Action', 'los', 'Reference')",target
"('someterse', 'Action', 'mujeres', 'Concept')",subject
"('someterse', 'Action', 'examen pélvico', 'Concept')",target
"('someterse', 'Action', 'descubran', 'Action')",causes
"('contaminación', 'Action', 'algunas', 'Predicate')",target
"('algunas', 'Predicate', 'partes', 'Predicate')",domain
"('contaminación', 'Action', 'problemas', 'Action')",causes
"('aire', 'Concept', 'medio ambiente', 'Concept')",part-of
"('agua', 'Concept', 'medio ambiente', 'Concept')",part-of
"('tierra', 'Concept', 'medio ambiente', 'Concept')",part-of
"('humo', 'Concept', 'combustión', 'Concept')",in-context
"('expulsado', 'Action', 'automóviles', 'Concept')",subject
"('expulsado', 'Action', 'candelabros', 'Concept')",subject
"('expulsado', 'Action', 'camiones', 'Concept')",subject
"('expulsado', 'Action', 'estufas', 'Concept')",subject
"('expulsado', 'Action', 'sistemas de calefacción', 'Concept')",subject
"('expulsado', 'Action', 'humo', 'Concept')",target
"('expulsado', 'Action', 'fogones', 'Concept')",subject
"('fogones', 'Concept', 'gas', 'Concept')",in-context
"('co', 'Concept', 'humo', 'Concept')",part-of
"('afectar', 'Action', 'defectos congénitos', 'Concept')",subject
"('afectar', 'Action', 'cara', 'Concept')",target
"('grupo', 'Predicate', 'enfermedades', 'Concept')",domain
"('enfermedad intestinal inflamatoria', 'Concept', 'grupo', 'Predicate')",is-a
"('causa', 'Action', 'síndrome de tourette', 'Concept')",target
"('causa', 'Action', 'desconoce', 'Concept')",has-property
"('necesitará', 'Action', 'radiografía', 'Concept')",target
"('radiografía', 'Concept', 'tórax', 'Concept')",in-place
"('diagnosticar', 'Action', 'neumonía', 'Concept')",target
"('diagnosticar', 'Action', 'necesitará', 'Action')",entails
"('interferir', 'Action', 'respiración', 'Action')",target
"('interferir', 'Action', 'crup', 'Concept')",subject
"('crup', 'Concept', 'grave', 'Concept')",has-property
"('problema', 'Predicate', 'proceso', 'Concept')",arg
"('trastornos metabólico', 'Concept', 'problema', 'Predicate')",entails
"('comprobar', 'Action', 'a1c', 'Concept')",subject
"('comprobar', 'Action', 'manejando', 'Action')",target
"('manejando', 'Action', 'diabetes', 'Concept')",target
"('a1c', 'Concept', 'análisis de sangre', 'Concept')",is-a
"('enfermedad clínica', 'Concept', 'severa', 'Concept')",in-context
"('depresión', 'Concept', 'enfermedad clínica', 'Concept')",is-a
"('lesión', 'Action', 'pecho', 'Concept')",in-place
"('causa', 'Action', 'hemotórax', 'Concept')",target
"('lesión', 'Action', 'hemotórax', 'Concept')",causes
"('lesión', 'Action', 'más', 'Predicate')",same-as
"('síntomas', 'Concept', 'nuevos', 'Concept')",in-context
"('aparecer', 'Action', 'cualquier', 'Predicate')",in-time
"('cualquier', 'Predicate', 'momento', 'Concept')",domain
"('brotes', 'Concept', 'leves', 'Concept')",has-property
"('brotes', 'Concept', 'severos', 'Concept')",has-property
"('prevenir', 'Action', 'ántrax', 'Concept')",target
"('prevenir', 'Action', 'personas', 'Concept')",in-place
"('prevenir', 'Action', 'grupos', 'Concept')",in-place
"('existe', 'Action', 'prevenir', 'Action')",target
"('personas', 'Concept', 'servicio militar', 'Concept')",in-place
"('grupos', 'Concept', 'riesgo', 'Predicate')",domain
"('riesgo', 'Predicate', 'ántrax', 'Concept')",arg
"('personas', 'Concept', 'grupos', 'Concept')",is-a
"('viaja', 'Action', 'forma', 'Predicate')",in-context
"('viaja', 'Action', 'energía', 'Concept')",subject
"('forma', 'Predicate', 'ondas', 'Concept')",domain
"('forma', 'Predicate', 'partículas', 'Concept')",domain
"('partículas', 'Concept', 'alta', 'Predicate')",in-context
"('alta', 'Predicate', 'velocidad', 'Concept')",arg
"('radiación', 'Concept', 'viaja', 'Action')",same-as
"('medicamentos', 'Concept', 'colesterol', 'Concept')",in-context
"('elevar', 'Action', 'nivel', 'Predicate')",target
"('elevar', 'Action', 'algunos', 'Predicate')",subject
"('nivel', 'Predicate', 'colesterol bueno', 'Concept')",arg
"('reducir', 'Action', 'colesterol malo', 'Concept')",target
"('reducir', 'Action', 'algunos', 'Predicate')",subject
"('estatinas', 'Concept', 'medicamentos', 'Concept')",is-a
"('colesterol bueno', 'Concept', 'hdl', 'Concept')",same-as
"('colesterol malo', 'Concept', 'ldl', 'Concept')",same-as
"('desgarres', 'Action', 'esófago', 'Concept')",in-place
"('inflamación', 'Action', 'esófago', 'Concept')",in-place
"('hemorroides', 'Concept', 'hemorragia gastrointestinal', 'Concept')",causes
"('úlceras pépticas', 'Concept', 'hemorragia gastrointestinal', 'Concept')",causes
"('desgarres', 'Action', 'hemorragia gastrointestinal', 'Concept')",causes
"('inflamación', 'Action', 'hemorragia gastrointestinal', 'Concept')",causes
"('diverticulosis', 'Concept', 'hemorragia gastrointestinal', 'Concept')",causes
"('diverticulitis', 'Concept', 'hemorragia gastrointestinal', 'Concept')",causes
"('colitis ulcerativa', 'Concept', 'hemorragia gastrointestinal', 'Concept')",causes
"('enfermedad de crohn', 'Concept', 'hemorragia gastrointestinal', 'Concept')",causes
"('pólipos del colon', 'Concept', 'hemorragia gastrointestinal', 'Concept')",causes
"('cáncer de esófago', 'Concept', 'hemorragia gastrointestinal', 'Concept')",causes
"('cáncer de estómago', 'Concept', 'hemorragia gastrointestinal', 'Concept')",causes
"('cáncer de colon', 'Concept', 'hemorragia gastrointestinal', 'Concept')",causes
"('colitis ulcerativa', 'Concept', 'colitis ulcerosa', 'Concept')",same-as
"('llaman', 'Action', 'algunas', 'Predicate')",subject
"('llaman', 'Action', 'muerte en la cuna', 'Concept')",target
"('llaman', 'Action', 'este', 'Reference')",target
"('bebés', 'Concept', 'muertos', 'Concept')",in-context
"('encontrados', 'Action', 'bebés', 'Concept')",target
"('encontrados', 'Action', 'cunas', 'Concept')",in-place
"('encontrados', 'Action', 'llaman', 'Action')",causes
"('produce', 'Action', 'suficiente', 'Concept')",in-context
"('usar', 'Action', 'cuerpo', 'Concept')",subject
"('usar', 'Action', 'insulina', 'Concept')",target
"('usar', 'Action', 'ese momento', 'Concept')",in-time
"('sufre', 'Action', 'alguien', 'Concept')",subject
"('sufre', 'Action', 'hiperglucemia', 'Concept')",target
"('sufre', 'Action', 'produce', 'Action')",entails
"('sufre', 'Action', 'usar', 'Action')",entails
"('inyecciones', 'Concept', 'alergia', 'Concept')",in-context
"('sensible', 'Action', 'polen', 'Concept')",target
"('alivio', 'Action', 'plazo', 'Concept')",in-time
"('plazo', 'Concept', 'largo', 'Concept')",in-context
"('inyecciones', 'Concept', 'sensible', 'Action')",causes
"('inyecciones', 'Concept', 'alivio', 'Action')",causes
"('sufrir', 'Action', 'corte', 'Concept')",target
"('sufrir', 'Action', 'herida', 'Concept')",target
"('sufrir', 'Action', 'sangrar', 'Action')",causes
"('más', 'Predicate', 'causa', 'Concept')",domain
"('estreptococo del grupo a', 'Concept', 'más', 'Predicate')",has-property
"('avanza', 'Action', 'cmt', 'Concept')",target
"('parte', 'Predicate', 'piernas', 'Concept')",domain
"('debilitarse', 'Action', 'parte', 'Predicate')",target
"('avanza', 'Action', 'debilitarse', 'Action')",causes
"('hacerse', 'Action', 'examen', 'Concept')",target
"('hacerse', 'Action', 'anual', 'Concept')",in-time
"('tiene', 'Action', 'hacerse', 'Action')",entails
"('crecimiento', 'Action', 'cuerpo', 'Concept')",in-place
"('crecimiento', 'Action', 'tumores', 'Concept')",target
"('crecimiento', 'Action', 'quistes', 'Concept')",target
"('enfermedad de von hippel-lindau', 'Concept', 'vhl', 'Concept')",same-as
"('enfermedad de von hippel-lindau', 'Concept', 'enfermedad genética', 'Concept')",is-a
"('enfermedad de von hippel-lindau', 'Concept', 'común', 'Concept')",has-property
"('enfermedad de von hippel-lindau', 'Concept', 'crecimiento', 'Action')",causes
"('demasiada', 'Predicate', 'placa', 'Concept')",domain
"('demasiada', 'Predicate', 'arteria', 'Concept')",in-place
"('demasiada', 'Predicate', 'bloqueo', 'Action')",causes
"('lesión', 'Concept', 'tejidos', 'Concept')",in-place
"('quemadura', 'Concept', 'lesión', 'Concept')",is-a
"('calor', 'Concept', 'quemadura', 'Concept')",causes
"('sustancias químicas', 'Concept', 'quemadura', 'Concept')",causes
"('electricidad', 'Concept', 'quemadura', 'Concept')",causes
"('sol', 'Concept', 'quemadura', 'Concept')",causes
"('radiación', 'Concept', 'quemadura', 'Concept')",causes
"('enfermedad', 'Predicate', 'personas', 'Concept')",domain
"('enfermedad', 'Predicate', 'gripe aviar', 'Concept')",arg
"('leve', 'Concept', 'enfermedad', 'Predicate')",has-property
"('grave', 'Concept', 'enfermedad', 'Predicate')",has-property
"('algunos', 'Predicate', 'contaminantes', 'Concept')",domain
"('presentan', 'Action', 'más', 'Predicate')",in-time
"('presentan', 'Action', 'cuadros', 'Concept')",target
"('presentan', 'Action', 'enfermedades respiratorias', 'Concept')",target
"('presentan', 'Action', 'cáncer', 'Concept')",target
"('más', 'Predicate', 'tarde', 'Concept')",arg
"('algunos', 'Predicate', 'presentan', 'Action')",causes
"('enfermedades respiratorias', 'Concept', 'cuadros', 'Concept')",is-a
"('cáncer', 'Concept', 'cuadros', 'Concept')",is-a
"('varicela', 'Concept', 'infección', 'Concept')",is-a
"('virus de la varicela zoster', 'Concept', 'varicela', 'Concept')",causes
"('fracturas óseas', 'Action', 'huesos', 'Concept')",target
"('huesos', 'Concept', 'nariz', 'Concept')",in-place
"('huesos', 'Concept', 'mejillas', 'Concept')",in-place
"('huesos', 'Concept', 'mandíbula', 'Concept')",in-place
"('lesiones faciales', 'Action', 'comunes', 'Concept')",in-context
"('fracturas óseas', 'Action', 'lesiones faciales', 'Action')",is-a
"('virus', 'Concept', 'ets', 'Concept')",causes
"('ayudan', 'Action', 'huesos', 'Concept')",subject
"('forma', 'Action', 'huesos', 'Concept')",subject
"('forma', 'Action', 'cuerpo', 'Concept')",target
"('apoyan', 'Action', 'huesos', 'Concept')",subject
"('apoyan', 'Action', 'cuerpo', 'Concept')",target
"('estrechar', 'Action', 'placa', 'Concept')",subject
"('estrechar', 'Action', 'arterias', 'Concept')",target
"('bloquearlas', 'Action', 'placa', 'Concept')",subject
"('bloquearlas', 'Action', 'arterias', 'Concept')",target
"('esto', 'Reference', 'placa', 'Concept')",same-as
"('responde', 'Action', 'polimialgia reumática', 'Concept')",subject
"('responde', 'Action', 'tratamiento', 'Concept')",target
"('responde', 'Action', 'bien', 'Concept')",in-context
"('desaparecer', 'Action', 'polimialgia reumática', 'Concept')",target
"('desaparecer', 'Action', 'uno días', 'Concept')",in-time
"('desaparecer', 'Action', 'dos días', 'Concept')",in-time
"('extremo', 'Predicate', 'inferior', 'Concept')",arg
"('extremo', 'Predicate', 'dos huesos', 'Concept')",domain
"('dos huesos', 'Concept', 'pierna', 'Concept')",in-place
"('hueso', 'Concept', 'tobillo', 'Concept')",in-place
"('forman', 'Action', 'hueso', 'Concept')",subject
"('forman', 'Action', 'extremo', 'Predicate')",subject
"('forman', 'Action', 'articulación del tobillo', 'Concept')",target
"('hueso', 'Concept', 'astrágalo', 'Concept')",same-as
"('hueso', 'Concept', 'articulación del tobillo', 'Concept')",part-of
"('extremo', 'Predicate', 'articulación del tobillo', 'Concept')",part-of
"('endurezcan', 'Action', 'arterias', 'Concept')",subject
"('estrechen', 'Action', 'arterias', 'Concept')",subject
"('disminuye', 'Action', 'flujo', 'Action')",target
"('bloquea', 'Action', 'flujo', 'Action')",target
"('flujo', 'Action', 'corazón', 'Concept')",in-place
"('endurezcan', 'Action', 'disminuye', 'Action')",causes
"('endurezcan', 'Action', 'bloquea', 'Action')",causes
"('estrechen', 'Action', 'disminuye', 'Action')",causes
"('estrechen', 'Action', 'bloquea', 'Action')",causes
"('desarrolla', 'Action', 'embarazada', 'Action')",in-time
"('desarrolla', 'Action', 'útero', 'Concept')",in-place
"('osteoporosis', 'Concept', 'cadera', 'Concept')",in-place
"('debiliten', 'Action', 'huesos', 'Concept')",target
"('rompan', 'Action', 'huesos', 'Concept')",target
"('rompan', 'Action', 'fácilmente', 'Concept')",in-context
"('osteoporosis', 'Concept', 'debiliten', 'Action')",causes
"('osteoporosis', 'Concept', 'rompan', 'Action')",causes
"('enfermedades pulmonares', 'Concept', 'estos', 'Reference')",is-a
"('enfermedades cardiacas', 'Concept', 'estos', 'Reference')",is-a
"('enfermedades vasculares', 'Concept', 'estos', 'Reference')",is-a
"('derrames cerebrales', 'Concept', 'estos', 'Reference')",is-a
"('cataratas', 'Concept', 'estos', 'Reference')",is-a
"('convertirse', 'Action', 'células madre', 'Concept')",subject
"('convertirse', 'Action', 'tipos', 'Predicate')",target
"('tipos', 'Predicate', 'células', 'Concept')",domain
"('tipos', 'Predicate', 'diferentes', 'Concept')",in-context
"('células', 'Concept', 'cuerpo', 'Concept')",in-place
"('causa', 'Action', 'sarcoidosis', 'Concept')",target
"('defectos congénitos', 'Concept', 'leves', 'Concept')",has-property
"('defectos congénitos', 'Concept', 'severos', 'Concept')",has-property
"('orina', 'Concept', 'fuera', 'Predicate')",in-place
"('fuera', 'Predicate', 'cuerpo', 'Concept')",arg
"('lleva', 'Action', 'tubo', 'Concept')",subject
"('lleva', 'Action', 'orina', 'Concept')",target
"('rodea', 'Action', 'próstata', 'Concept')",subject
"('rodea', 'Action', 'lleva', 'Action')",target
"('empezar', 'Action', 'joven', 'Concept')",in-time
"('empezar', 'Action', 'fumar', 'Action')",target
"('empezar', 'Action', 'problemas', 'Concept')",causes
"('presentan', 'Action', 'síntomas', 'Concept')",target
"('presentan', 'Action', 'algunas', 'Predicate')",subject
"('algunas', 'Predicate', 'hepatitis', 'Concept')",arg
"('genitales', 'Concept', 'femeninos', 'Concept')",in-context
"('parte', 'Predicate', 'genitales', 'Concept')",domain
"('parte', 'Predicate', 'externa', 'Concept')",arg
"('vulva', 'Concept', 'parte', 'Predicate')",same-as
"('más', 'Predicate', 'sedentario', 'Concept')",arg
"('riesgo', 'Predicate', 'salud', 'Concept')",arg
"('riesgo', 'Predicate', 'mayor', 'Concept')",in-context
"('empeorar', 'Action', 'estos', 'Reference')",target
"('empeorar', 'Action', 'pasa', 'Action')",subject
"('pasa', 'Action', 'tiempo', 'Concept')",target
"('buscar', 'Action', 'ayuda', 'Action')",target
"('buscar', 'Action', 'antes posible', 'Predicate')",in-time
"('buscar', 'Action', 'importante', 'Concept')",has-property
"('empeorar', 'Action', 'buscar', 'Action')",entails
"('personas', 'Concept', 'at', 'Concept')",in-context
"('riesgo', 'Predicate', 'desarrollar', 'Action')",arg
"('desarrollar', 'Action', 'leucemia', 'Concept')",target
"('desarrollar', 'Action', 'linfoma', 'Concept')",target
"('desarrollar', 'Action', 'cánceres', 'Concept')",target
"('linfoma', 'Concept', 'cánceres', 'Concept')",is-a
"('leucemia', 'Concept', 'cánceres', 'Concept')",is-a
"('producen', 'Action', 'suficientes', 'Predicate')",target
"('producen', 'Action', 'glándulas suprarrenales', 'Concept')",subject
"('suficientes', 'Predicate', 'hormonas', 'Concept')",domain
"('producen', 'Action', 'enfermedad de addison', 'Concept')",causes
"('responde', 'Action', 'cuerpo', 'Concept')",subject
"('responde', 'Action', 'hormonas', 'Concept')",target
"('responde', 'Action', 'enfermedades hormonales', 'Concept')",causes
"('existen', 'Action', 'curas', 'Action')",target
"('curas', 'Action', 'ninguna', 'Predicate')",target
"('ninguna', 'Predicate', 'leucodistrofias', 'Concept')",domain
"('muchas', 'Predicate', 'consumen', 'Action')",domain
"('muchas', 'Predicate', 'mascan', 'Action')",domain
"('mascan', 'Action', 'tabaco', 'Concept')",target
"('mascan', 'Action', 'personas', 'Concept')",subject
"('consumen', 'Action', 'personas', 'Concept')",subject
"('consumen', 'Action', 'rapé', 'Concept')",target
"('piensan', 'Action', 'muchas', 'Predicate')",subject
"('piensan', 'Action', 'más sano', 'Predicate')",target
"('más sano', 'Predicate', 'tabaco', 'Concept')",domain
"('más sano', 'Predicate', 'rapé', 'Concept')",domain
"('más sano', 'Predicate', 'fumar', 'Action')",arg
"('comenzar', 'Action', 'infecciones por hongos', 'Concept')",subject
"('infecciones por hongos', 'Concept', 'micóticas', 'Concept')",same-as
"('infectarse', 'Action', 'párpados', 'Concept')",subject
"('inflamarse', 'Action', 'párpados', 'Concept')",subject
"('desarrollar', 'Action', 'párpados', 'Concept')",subject
"('desarrollar', 'Action', 'cáncer', 'Concept')",target
"('párpados', 'Concept', 'cuerpo', 'Concept')",part-of
"('hinchazón', 'Action', 'conjuntiva', 'Concept')",target
"('picazón', 'Action', 'conjuntiva', 'Concept')",target
"('ardor', 'Action', 'conjuntiva', 'Concept')",target
"('lagrimeo', 'Action', 'conjuntiva', 'Concept')",target
"('enrojecimiento', 'Action', 'conjuntiva', 'Concept')",target
"('membrana', 'Concept', 'delgada', 'Concept')",in-context
"('membrana', 'Concept', 'translúcida', 'Concept')",in-context
"('recubre', 'Action', 'conjuntiva', 'Concept')",subject
"('recubre', 'Action', 'parte', 'Predicate')",target
"('recubre', 'Action', 'interior', 'Predicate')",target
"('parte', 'Predicate', 'blanca', 'Concept')",arg
"('interior', 'Predicate', 'párpados', 'Concept')",domain
"('conjuntivitis', 'Concept', 'hinchazón', 'Action')",causes
"('conjuntivitis', 'Concept', 'picazón', 'Action')",causes
"('conjuntivitis', 'Concept', 'ardor', 'Action')",causes
"('conjuntivitis', 'Concept', 'lagrimeo', 'Action')",causes
"('conjuntivitis', 'Concept', 'enrojecimiento', 'Action')",causes
"('conjuntiva', 'Concept', 'membrana', 'Concept')",same-as
"('problemas', 'Action', 'vesícula', 'Concept')",subject
"('obstruye', 'Action', 'flujo', 'Action')",target
"('obstruye', 'Action', 'algo', 'Reference')",subject
"('flujo', 'Action', 'bilis', 'Concept')",subject
"('flujo', 'Action', 'conductos biliares', 'Concept')",in-place
"('obstruye', 'Action', 'problemas', 'Action')",entails
"('problemas', 'Action', 'probable', 'Concept')",has-property
"('necesita', 'Action', 'glucosa', 'Concept')",target
"('tener', 'Action', 'suficiente', 'Predicate')",target
"('tener', 'Action', 'cuerpo', 'Concept')",subject
"('tener', 'Action', 'necesita', 'Action')",entails
"('tratar', 'Action', 'difíciles', 'Concept')",in-context
"('vih/sida', 'Concept', 'tratar', 'Action')",causes
"('problemas', 'Action', 'órganos', 'Concept')",target
"('problemas', 'Action', 'ojos', 'Concept')",target
"('problemas', 'Action', 'piel', 'Concept')",target
"('ojos', 'Concept', 'órganos', 'Concept')",is-a
"('piel', 'Concept', 'órganos', 'Concept')",is-a
"('algunos', 'Predicate', 'problemas', 'Action')",causes
